Zona;Provincia;Canton;Distrito;Circuito;fecha infraccion;dia;mes;anio;Hora Infracción;hora;minutos;segundos;tipo_muert_matriz;Edad;Sexo;Estado Civil;Nacionalidad
ZONA 8;GUAYAS;GUAYAQUIL;SUR;GUASMO;7/6/2014;7;6;2014;16:30;16;30;0;Asesinatos;42;MASCULINO;CASADO;ECUADOR
ZONA 8;GUAYAS;DURAN;DURAN;ARBOLITO;4/6/2014;4;6;2014;0:00;0;0;0;Asesinatos;72;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;MODELO;SAUCES;8/6/2014;8;6;2014;6:00;6;0;0;Asesinatos;36;FEMENINO;SOLTERO;ECUADOR
ZONA 6;AZUAY;CUENCA;CUENCA SUR;CAYAMBE;8/6/2014;8;6;2014;1:00;1;0;0;Asesinatos;22;FEMENINO;SOLTERO;ECUADOR
ZONA 1;IMBABURA;COTACACHI;TIERRA DEL SOL;GARCIA MORENO;8/6/2014;8;6;2014;4:00;4;0;0;Asesinatos;26;MASCULINO;SOLTERO;ECUADOR
ZONA 4;MANABI;BOLIVAR;BOLIVAR JUNIN;MEMBRILLO;8/6/2014;8;6;2014;19:15;19;15;0;Asesinatos;55;MASCULINO;DIVORCIADO;ECUADOR
ZONA 4;SANTO_DOMINGO_DE_LOS_TSACHILAS;SANTO_DOMINGO;SANTO DOMINGO OESTE;BOMBOLI;5/6/2014;5;6;2014;13:30;13;30;0;Asesinatos;36;MASCULINO;CASADO;ECUADOR
ZONA 5;GUAYAS;EL_EMPALME;EL EMPALME;EMPALME SUROESTE;10/6/2014;10;6;2014;12:25;12;25;0;Asesinatos;26;MASCULINO;SOLTERO;ECUADOR
ZONA 5;GUAYAS;NARANJAL;NARANJAL BALAO;NARANJAL SUR;9/6/2014;9;6;2014;23:00;23;0;0;Asesinatos;25;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;MODELO;ALBORADA;10/6/2014;10;6;2014;23:00;23;0;0;Asesinatos;19;MASCULINO;SOLTERO;ECUADOR
ZONA 9;PICHINCHA;QUITO;QUITUMBE;CHILLOGALLO;10/6/2014;10;6;2014;22:10;22;10;0;Homicidios;26;FEMENINO;SOLTERO;ECUADOR
ZONA 9;PICHINCHA;QUITO;NANEGAL;PACTO;10/6/2014;10;6;2014;19:10;19;10;0;Homicidios;23;FEMENINO;UNION LIBRE;COLOMBIA
